Name,Users_Rating,Height_m,Section_Name,Area_Name,Sub_Area_Name,Latitude,Longitude,Distance_From_EDI_miles,Drive_Time_hrs,Car_Park,Toilets_Info,Is_Climbed,Time_Estimate,Suggested_Leaving_Time,Reviews,PostCode
Uamh Bheag,3.0,665.80,Southern Highlands incl Jura and Arran,Loch Tay to the Trossachs,South of Loch Earn and Glen Artney,56.281031,-4.115662,54.7,2.54,Roadside parking near Comrie or St Fillans,Comrie village,No,2.5-3.4 hrs,12:31,,FK17
Gana Hill,2.9,668.00,Southern Uplands,Galloway,Lowther Hills,55.292622,-3.648167,70.1,2.48,Wanlockhead village parking (NS873131),Wanlockhead museum,No,2.5-3.4 hrs,12:38,,DG3
Drumelzier Law,3.7,668.00,Southern Uplands,The Borders,Tweedsmuir and Manor Hills,55.567299,-3.350409,35.4,1.32,"Roadside parking near cottage, Drumelzier (NT136340)",None nearby,No,2.5-3.4 hrs,14:57,,EH45
Wedder Law,2.3,673.00,Southern Uplands,Galloway,Lowther Hills,55.305174,-3.673485,62.0,2.09,Wanlockhead village parking (NS873131),Wanlockhead museum,No,2.6-3.5 hrs,13:19,,DG3
Curleywee,4.3,674.40,Southern Uplands,Galloway,Glen Trool and Glenkens,55.062954,-4.421267,98.1,3.67,Park at the car park at the end of the public road up Glen Trool.,None nearby,No,2.6-3.5 hrs,10:09,,DG8
Dùn Law,2.9,675.70,Southern Uplands,Galloway,Lowther Hills,55.404822,-3.712394,49.9,1.61,Wanlockhead village parking (NS873131),Wanlockhead museum,No,2.6-3.5 hrs,14:16,,DG4
Larg Hill,3.8,676.00,Southern Uplands,Galloway,Glen Trool and Glenkens,55.051176,-4.46748,108.3,3.4,Glen Trool visitor centre car park (NX397788),Glen Trool visitor centre,No,2.6-3.5 hrs,10:41,,DG8
Stob Law,3.1,676.00,Southern Uplands,The Borders,Tweedsmuir and Manor Hills,55.586907,-3.222837,30.4,1.3,"Glen Road layby, Peebles (NT259392)",Peebles town centre,No,2.6-3.5 hrs,14:54,,EH45
Andrewhinney Hill,3.2,677.30,Southern Uplands,The Borders,Moffat to Eskdalemuir,55.412223,-3.26896,47.4,1.35,"Grey Mare's Tail car park, A708 (NT186144)",Moffat town centre,No,2.6-3.5 hrs,14:48,,DG10
Capel Fell,3.5,678.30,Southern Uplands,The Borders,Moffat to Eskdalemuir,55.349065,-3.319992,55.5,1.86,"Grey Mare's Tail car park, A708 (NT186144)",Moffat town centre,No,2.6-3.5 hrs,13:46,,DG10
